month,date,hour,output
9,19,22,-0.0017440
9,19,23,-0.0017440
9,19,24,-0.0017440
9,20,1,-0.0017440
9,20,2,-0.0017440
9,20,3,-0.0017440
9,20,4,-0.0017440
9,20,5,-0.0017440
9,20,6,-0.0017440
9,20,7,-0.0017440
9,20,8,0.1371680
9,20,9,0.5320720
9,20,10,0.8607200
9,20,11,0.7507440
9,20,12,0.4988400
9,20,13,0.7085440
9,20,14,0.8921600
9,20,15,0.6813280
9,20,16,0.1577200
9,20,17,0.0376320
9,20,18,0.0177280
9,20,19,-0.0017440
9,20,20,-0.0017440
9,20,21,-0.0017440
9,20,22,-0.0017440
9,20,23,-0.0017440
9,20,24,-0.0017440
9,21,1,-0.0017440
9,21,2,-0.0017440
9,21,3,-0.0017440
9,21,4,-0.0017440
9,21,5,-0.0017440
9,21,6,-0.0017440
9,21,7,-0.0017440
9,21,8,0.1091040
9,21,9,0.2309440
9,21,10,0.3890080
9,21,11,0.2987280
9,21,12,0.4784800
9,21,13,0.4678800
9,21,14,0.4325040
9,21,15,0.5289600
9,21,16,0.5541760
9,21,17,0.2941040
9,21,18,0.1948480
9,21,19,-0.0017440
9,21,20,-0.0017440
9,21,21,-0.0017440
9,21,22,-0.0017440
9,21,23,-0.0017440
9,21,24,-0.0017440
9,22,1,-0.0017440
9,22,2,-0.0017440
9,22,3,-0.0017440
9,22,4,-0.0017440
9,22,5,-0.0017440
9,22,6,-0.0017440
9,22,7,-0.0017440
9,22,8,0.2044560
9,22,9,0.5828640
9,22,10,0.8936800
9,22,11,1.0972800
9,22,12,0.7623600
9,22,13,0.8071200
9,22,14,0.7009040
9,22,15,0.5858800
9,22,16,0.4883360
9,22,17,0.3681280
9,22,18,0.1732880
9,22,19,0.0041680
9,22,20,-0.0017440
9,22,21,-0.0017440
9,22,22,-0.0017440
9,22,23,-0.0017440
9,22,24,-0.0017440
9,23,1,-0.0017440
9,23,2,-0.0017440
9,23,3,-0.0017440
9,23,4,-0.0017440
9,23,5,-0.0017440
9,23,6,-0.0017440
9,23,7,-0.0017440
9,23,8,0.1925760
9,23,9,0.5263280
9,23,10,0.8059200
9,23,11,1.0077600
9,23,12,1.1225600
9,23,13,1.1492000
9,23,14,1.1248000
9,23,15,1.0201600
9,23,16,0.8407200
9,23,17,0.5895920
9,23,18,0.2873200
9,23,19,-0.0017440
9,23,20,-0.0017440
9,23,21,-0.0017440
9,23,22,-0.0017440
9,23,23,-0.0017440
9,23,24,-0.0017440
